,Unnamed: 0,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge,signal_percent
306,306,464,464,WASP-169 b,Confirmed,0.561,0.06,0.06,,,,1.304,0.073,0.15,5.6114118,9.2e-06,9.2e-06,0.0681,0.0014,0.0014,0.0,,,87.9,2.0,1.4,,2019.0,2019-04-24,,,,,,,,,,2457697.0176,0.0014,0.0014,,,,,,,0.27,0.19,0.19,,,,52.9,5.4,5.4,1604.0,42.0,74.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-169,127.387500011,-12.94472225,12.2,,,,,638.0,14.0,14.0,0.06,0.07,0.07,1.337,0.083,0.083,2.011,0.089,0.188,,3.8,0.78,0.78,6110.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.01261022957321215
307,307,471,471,WASP-176 b,Confirmed,0.855,0.07,0.07,,,,1.505,0.045,0.05,3.899052,5e-05,5e-05,0.0535,0.0019,0.001,0.0,,,86.7,1.1,1.3,,2020.0,2020-04-15,,,,,,,,,,2458234.1771,0.0007,0.0007,,,,,,,0.347,0.12,0.098,,,,,,,1721.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-176,313.687500015,9.17916668,12.0,,,,,578.0,12.0,12.0,0.215,0.07,0.07,1.27,0.025,0.025,1.945,0.013,0.024,,,,,5902.0,36.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014574371065023505
308,308,472,472,WASP-177 b,Confirmed,0.508,0.038,0.038,,,,1.58,0.36,0.66,3.071722,1e-06,1e-06,0.03957,0.00058,0.00058,,,,84.14,0.83,0.66,,2019.0,2019-03-21,,,,,,,,,,2457994.3714,0.00028,0.00028,,,,,,,0.98,0.06,0.092,,,,77.3,5.2,5.2,1142.0,32.0,32.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-177,334.795833337,-1.834444462,11.6,,,,,178.0,2.0,2.0,0.25,0.04,0.04,0.876,0.038,0.038,0.885,0.046,0.046,K2,9.7,3.9,3.9,5017.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0914023265152009
309,309,475,475,WASP-180 A b,Confirmed,0.8,0.1,0.1,,,,1.29,0.07,0.07,3.409265,1e-06,1e-06,0.048,0.001,0.001,,,,87.4,0.6,0.6,,2019.0,2019-06-26,,,,,,,,,,2457763.3147,0.0003,0.0003,,,,200.0,0.5,0.5,0.4,0.08,0.08,,,,100.0,10.0,10.0,1570.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-180 A,123.392291678,-1.0827500322,,,,,,255.8,3.3,3.3,0.1,0.2,0.2,1.3,0.1,0.1,1.19,0.06,0.06,F7 V-V,,,,6600.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.02419833866002227
310,310,476,476,WASP-181 b,Confirmed,0.299,0.034,0.034,,,,1.184,0.059,0.071,4.5195064,3.4e-06,3.4e-06,0.05427,0.00069,0.00069,,,,88.38,0.59,0.76,,2019.0,2019-03-15,,,,,,,,,,2457747.66681,0.00035,0.00035,,,,,,,0.34,0.15,0.1,,,,35.7,3.9,3.9,1186.0,26.0,32.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-181,26.79166667,3.133055571,10.0,,,,,443.0,8.0,8.0,0.09,0.04,0.04,1.04,0.04,0.04,0.965,0.043,0.043,G2,2.5,1.7,1.7,5839.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.057036785981518116
311,311,478,478,WASP-183 b,Confirmed,0.502,0.047,0.047,,,,1.47,0.33,0.94,4.1117771,5.1e-06,5.1e-06,0.04632,0.00075,0.00075,,,,85.37,0.88,0.61,,2019.0,2019-03-15,,,,,,,,,,2457796.1845,0.0024,0.0024,,,,,,,0.916,0.091,0.163,,,,74.8,6.6,6.6,1111.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-183,163.787500003,-0.73722224,12.76,,,,,328.0,4.0,4.0,-0.31,0.04,0.04,0.784,0.038,0.038,0.871,0.038,0.038,G9/K0,14.9,1.7,1.7,5313.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.07467584179037755
313,313,481,481,WASP-186 b,Confirmed,4.22,0.18,0.18,,,,1.11,0.03,0.03,5.026799,1.4e-05,1.4e-05,0.06,0.0012,0.0012,0.33,0.01,0.01,,,,,2019.0,2020-09-23,,,,,,,,,,2456237.1195,0.0009,0.0009,,,,,,,0.84,0.02,0.02,,,,530.3,8.6,8.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-186,18.995833353,21.616944457,10.6,,,,,280.0,3.0,3.0,,,,1.22,0.08,0.08,1.47,0.02,0.02,,,,,6361.0,82.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0018349903532165518
314,314,482,482,WASP-187 b,Confirmed,0.8,0.09,0.09,,,,1.64,0.05,0.05,5.147878,9e-05,5e-05,0.0653,0.0013,0.0013,0.0,,,,,,,2020.0,2020-09-23,,,,,,,,,,2455197.3529,0.002,0.002,,,,,,,0.76,0.02,0.02,,,,70.0,7.8,6.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-187,17.475000018,25.681666692,10.3,,,,,376.0,5.0,5.0,,,,1.54,0.09,0.09,2.83,0.05,0.05,,,,,6150.0,85.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.010831384195695272
315,315,483,483,WASP-189 b,Confirmed,1.99,0.14,0.16,,,,1.619,0.021,0.021,2.724033,4.2e-06,4.2e-06,0.05053,0.00098,0.00098,0.0,,,84.03,0.14,0.14,,2018.0,2020-09-28,,,,,,,,,,2458626.511696,6.5e-05,6.5e-05,,,,89.3,1.4,1.4,0.4537,0.0072,0.0072,,,,182.0,13.0,13.0,3353.0,34.0,27.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-189,225.686916682,-3.0313611232,6.6,,,,,99.0,1.0,1.0,0.0,,,1.887,0.057,0.057,2.33,0.12,0.12,A6IV-V,0.855,0.08,0.08,7996.0,99.0,99.0,,,HR 5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.008288105229412174
316,316,487,487,WASP-2 A b,Confirmed,0.847,0.045,0.045,,,,1.079,0.033,0.033,2.15222144,4e-07,4e-07,0.03138,0.011,0.011,0.0,,,84.73,0.19,0.19,0.000218,2006.0,2019-12-13,,,,,,,,,,2453991.5153,0.00017,0.00017,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,WASP-2 b,,WASP-2 A,307.725,6.4294444,11.98,,,,,144.0,,,-0.08,0.08,0.08,0.84,0.11,0.11,0.834,0.08,0.08,K1V,,,,5150.0,80.0,80.0,,,WASP-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.021999668612615247
317,317,489,489,WASP-21 b,Confirmed,0.3,0.01,0.01,,,,1.21,0.032,0.032,4.3225126,2.2e-06,2.2e-06,0.052,0.00044,0.00044,0.0,,,87.12,0.24,0.24,0.000226,2010.0,2020-08-04,,,,,,,,,,2454743.04217,0.00065,0.00065,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,Na,WASP-21,347.4916667,18.3961111,11.6,,,,,230.0,30.0,30.0,-0.4,0.1,0.1,1.01,0.025,0.025,1.06,0.04,0.04,G3V,,,,5800.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.05348178722767939
318,318,492,492,WASP-24 b,Confirmed,1.071,0.038,0.036,,,,1.3,0.038,0.039,2.3412127,2e-06,2e-06,0.03651,0.00028,0.00028,0.0,,,83.64,0.29,0.29,0.000109,2010.0,2014-07-24,,,,,,,,,,2455081.37941,0.00017,0.00017,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-24,227.2166667,2.3433333,11.3,,,,,332.5,,,0.07,0.1,0.1,1.129,0.025,0.025,1.147,0.048,0.048,F8-9,1.6,1.6,1.6,6075.0,100.0,100.0,,,"USNO-B1.0 0923-0348089, 2MASS J15085174+0220358, TYC 339-329-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0206319063019524
319,319,494,494,WASP-26 b,Confirmed,1.028,0.021,0.021,,,,1.281,0.075,0.075,2.7566004,6.7e-06,6.7e-06,0.03985,0.00033,0.00033,0.0,,,82.91,0.46,0.46,0.000159,2010.0,2014-07-24,,,,,,,,,,2455228.38842,0.00058,0.00058,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-26,4.6041667,-15.2672222,11.3,,,,,250.0,15.0,15.0,-0.02,0.09,0.09,1.12,0.03,0.03,1.34,0.06,0.06,G0,6.0,2.0,2.0,5950.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015268747446266079
320,320,495,495,WASP-28 b,Confirmed,0.907,0.043,0.043,,,,1.213,0.042,0.042,3.40883,6e-06,6e-06,0.04469,0.00076,0.00076,0.046,0.03,0.03,88.61,0.67,0.67,0.000136,2010.0,2019-06-13,,,,,,,,,,2455290.40519,0.0003,0.0003,,,,8.0,18.0,18.0,,,,,,,,,,1468.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-28,353.6166667,-1.58,12.0,,,,,410.0,70.0,70.0,-0.29,0.1,0.1,1.021,0.05,0.05,1.094,0.031,0.031,F8-G0,5.0,3.0,2.0,6150.0,140.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.01944117917152848
321,321,497,497,WASP-3 b,Confirmed,2.06,0.13,0.13,,,,1.454,0.084,0.084,1.8468372,6e-07,6e-07,0.0313,0.0001,0.0001,0.0,,,85.06,0.16,0.16,0.00014,2007.0,2012-11-02,,,,,,,,,,2454605.55915,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-3,278.6333333,35.6616667,10.64,,,,,223.0,,,0.0,0.2,0.2,1.24,0.11,0.11,1.31,0.12,0.12,F7V,,,,6400.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.013990408411745408
322,322,498,498,WASP-31 b,Confirmed,0.478,0.03,0.03,,,,1.537,0.06,0.06,3.405909,5e-06,5e-06,0.04657,0.00034,0.00034,0.0,,,84.54,0.027,0.027,0.000116,2010.0,2018-10-10,,,,,,,,,,2455192.6887,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,K,WASP-31,169.4375,-19.0547222,11.7,,,,,400.0,0.0,0.0,-0.19,0.09,0.09,1.16,0.026,0.026,1.24,0.04,0.04,F,,1.0,1.0,6200.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.06141907627111675
323,323,499,499,WASP-32 b,Confirmed,3.6,0.07,0.07,,,,1.18,0.07,0.07,2.71865,8e-05,8e-05,0.0394,0.0003,0.0003,0.018,0.0065,0.0065,85.3,0.5,0.5,,2010.0,2010-10-10,160.0,30.0,30.0,,,,,,,2455151.054,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-32,3.9625,1.2005556,11.3,,,,,,,,-0.13,0.1,0.1,1.1,0.03,0.03,1.11,0.05,0.05,G,,,,6100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.004660626592821309
324,324,500,500,WASP-33 b,Confirmed,2.8,0.53,0.53,,,,1.603,0.014,0.014,1.21986967,4.5e-07,4.5e-07,0.02558,0.00023,0.00023,0.0,,,87.7,1.8,1.8,0.000221,2010.0,2020-07-13,,,,,,,,,,2454590.17936,0.00027,0.00027,,,,96.0,14.0,10.0,0.21,0.002,0.002,,,,,,,2782.0,41.0,41.0,2300.0,800.0,,,,,Announced on a website,Primary Transit,Timing,Primary Transit,,"AlO, Ca, Fe, Fe I, Ni, SiO, Ti",WASP-33,36.7125,37.5505556,8.3,,,,,116.0,16.0,16.0,0.1,0.2,0.2,1.495,0.031,0.031,1.444,0.034,0.034,A5,,,,7400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015243220337873562
326,326,503,503,WASP-36 b,Confirmed,2.279,0.068,0.068,,,,1.269,0.03,0.03,1.5373653,2.7e-06,2.7e-06,0.02624,0.00027,0.00027,0.0,,,83.65,0.22,0.22,5.8e-05,2010.0,2019-05-30,,,,,,,,,,2455569.83731,9.3e-05,9.3e-05,,,,,,,0.25,0.007,0.007,,,,,,,1781.0,19.0,19.0,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-36,131.579166673,-8.0269444,12.7,,,,,450.0,120.0,120.0,-0.31,0.12,0.12,1.02,0.032,0.032,0.943,0.019,0.019,G2,3.0,2.0,2.0,5881.0,138.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.01381483804198881
327,327,504,504,WASP-37 b,Confirmed,1.8,0.17,0.17,,,,1.16,0.06,0.07,3.577471,1.1e-05,1.1e-05,0.04339,0.00152,0.00152,0.0,,,88.78,0.83,0.83,0.000128,2010.0,2018-12-17,,,,,,,,,,2455338.6189,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-37,221.9458333,1.065,12.7,,,,,338.0,41.0,41.0,-0.4,0.12,0.12,0.849,0.04,0.04,0.977,0.042,0.042,G2,11.0,4.0,4.0,5800.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.00971619712443035
328,328,505,505,WASP-38 b,Confirmed,2.712,0.065,0.065,,,,1.079,0.044,0.044,6.871815,4.2e-05,4.2e-05,0.07551,0.00085,0.00085,0.0321,0.0044,0.0044,88.69,0.55,0.55,0.000686,2010.0,2012-04-07,341.0,-16.0,-16.0,,,,,,,2455335.9205,0.00074,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-38,243.9583333,10.0325,9.42,,,,,110.0,20.0,20.0,-0.12,0.07,0.07,1.216,0.041,0.041,1.365,0.041,0.041,F8,5.0,,inf,6150.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002526108988749294
329,329,506,506,WASP-39 b,Confirmed,0.28,0.03,0.03,,,,1.27,0.04,0.04,4.055259,9e-06,9e-06,0.0486,0.0005,0.0005,0.0,,,87.83,0.25,0.25,0.000211,2011.0,2017-11-30,,,,,,,,,,2455342.9688,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,H2O,WASP-39,217.325,-3.4444444,12.11,,,,,230.0,80.0,80.0,-0.12,0.1,0.1,0.93,0.03,0.03,0.895,0.023,0.023,G8,,,,5400.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0822427711860747
